,building_type_id,building_sqft,general_type,lot_size,residential_units,net_residential_units
103437,3,566.9,Residential,5669,1.0,-1.0
103441,24,878.8000000000001,Residential,8788,1.0,-1.0
103443,20,646.8000000000001,Residential,6468,1.0,-1.0
103444,20,1059.9,Residential,10599,2.0,0.0
103446,20,868.9000000000001,Residential,8689,1.0,-1.0
103448,3,790.3000000000001,Residential,7903,1.0,-1.0
103451,3,742.7,Residential,7427,1.0,-1.0
103452,3,1050.8,Residential,10508,2.0,0.0
103454,20,1045.1000000000001,Residential,10451,2.0,0.0
103455,24,997.6,Residential,9976,1.0,-1.0
103461,3,789.7,Residential,7897,1.0,-1.0
103462,3,713.0,Residential,7130,1.0,-1.0
103464,24,766.3000000000001,Residential,7663,1.0,-1.0
103468,2,737.0,Residential,7370,1.0,-1.0
103488,2,1560.3000000000002,Residential,15603,2.0,1.0
103511,2,706.1,Residential,7061,1.0,0.0
103524,20,816.8000000000001,Residential,8168,1.0,0.0
103530,24,694.6,Residential,6946,1.0,0.0
103542,3,683.6,Residential,6836,1.0,0.0
103543,24,798.3000000000001,Residential,7983,1.0,0.0
103545,20,685.5,Residential,6855,1.0,0.0
103546,2,678.3000000000001,Residential,6783,1.0,0.0
103548,3,701.7,Residential,7017,1.0,0.0
103551,20,711.7,Residential,7117,1.0,0.0
103553,20,709.6,Residential,7096,1.0,0.0
103557,24,681.7,Residential,6817,1.0,0.0
103590,20,1169.2,Residential,11692,2.0,1.0
103591,20,1202.4,Residential,12024,2.0,1.0
103594,20,935.7,Residential,9357,1.0,0.0
103596,2,1097.0,Residential,10970,2.0,1.0
103597,20,939.3000000000001,Residential,9393,1.0,0.0
103598,24,997.5,Residential,9975,1.0,0.0
103599,3,1145.2,Residential,11452,2.0,1.0
103600,2,1402.5,Residential,14025,2.0,1.0
103656,24,725.3000000000001,Residential,7253,1.0,0.0
103683,3,2451.0,Residential,24510,3.0,1.0
103724,20,1571.7,Residential,15717,2.0,-3.0
103730,3,1105.8,Residential,11058,2.0,1.0
103803,24,612.6,Residential,6126,1.0,0.0
103832,20,860.8000000000001,Residential,8608,1.0,0.0
103835,3,707.0,Residential,7070,1.0,0.0
103838,3,637.4000000000001,Residential,6374,1.0,0.0
103844,20,900.9000000000001,Residential,9009,1.0,0.0
103853,24,821.1,Residential,8211,1.0,0.0
103860,20,735.9000000000001,Residential,7359,1.0,0.0
103862,20,902.1,Residential,9021,1.0,0.0
103871,24,1065.8,Residential,10658,2.0,1.0
103872,24,751.2,Residential,7512,1.0,0.0
103873,3,680.4000000000001,Residential,6804,1.0,0.0
103874,2,638.4000000000001,Residential,6384,1.0,0.0
103889,24,1311.6000000000001,Residential,13116,2.0,1.0
103903,3,950.3000000000001,Residential,9503,1.0,0.0
103930,3,821.4000000000001,Residential,8214,1.0,0.0
103942,3,804.4000000000001,Residential,8044,1.0,0.0
103957,3,714.5,Residential,7145,1.0,0.0
103996,3,784.3000000000001,Residential,7843,1.0,0.0
104026,3,692.7,Residential,6927,1.0,0.0
104035,3,736.5,Residential,7365,1.0,0.0
104040,3,668.1,Residential,6681,1.0,0.0
104051,24,880.1,Residential,8801,1.0,0.0
104058,3,1540.7,Residential,15407,2.0,1.0
104059,24,1507.9,Residential,15079,2.0,1.0
104086,3,666.7,Residential,6667,1.0,0.0
104099,20,955.3000000000001,Residential,9553,1.0,-3.0
104119,3,1009.3000000000001,Residential,10093,2.0,1.0
104124,3,1164.8,Residential,11648,2.0,1.0
104145,3,884.0,Residential,8840,1.0,0.0
104149,24,913.1,Residential,9131,1.0,0.0
104164,3,1318.2,Residential,13182,2.0,1.0
104165,20,3001.8,Residential,30018,4.0,2.0
104215,3,1480.5,Residential,14805,2.0,1.0
104252,20,614.8000000000001,Residential,6148,1.0,0.0
104253,2,627.0,Residential,6270,1.0,0.0
104256,24,733.7,Residential,7337,1.0,0.0
104276,20,675.3000000000001,Residential,6753,1.0,0.0
104277,2,989.5,Residential,9895,1.0,0.0
104282,3,778.4000000000001,Residential,7784,1.0,0.0
104283,20,793.2,Residential,7932,1.0,0.0
104288,2,775.7,Residential,7757,1.0,0.0
104290,3,628.8000000000001,Residential,6288,1.0,0.0
115215,3,6338.6,Residential,63386,7.0,7.0
117678,24,20094.5,Residential,200945,21.0,21.0
119293,2,3566.5,Residential,35665,4.0,3.0
119294,24,3932.7000000000003,Residential,39327,4.0,3.0
119295,2,3717.6000000000004,Residential,37176,4.0,1.0
119298,20,8460.800000000001,Residential,84608,9.0,8.0
119313,3,12301.5,Residential,123015,13.0,12.0
119329,20,6756.8,Residential,67568,7.0,5.0
119364,20,741.5,Residential,7415,1.0,0.0
119371,2,650.4000000000001,Residential,6504,1.0,0.0
119521,20,728.6,Residential,7286,1.0,0.0
119566,20,29054.7,Residential,290547,30.0,-70.0
119569,2,29069.4,Residential,290694,30.0,-17.0
119574,20,597.0,Residential,5970,1.0,-1.0
119586,2,3412.0,Residential,34120,4.0,-5.0
119700,20,5033.900000000001,Residential,50339,6.0,4.0
119703,2,2420.3,Residential,24203,3.0,2.0
119787,2,573.5,Residential,5735,1.0,0.0
119811,3,644.5,Residential,6445,1.0,0.0
119841,2,570.9,Residential,5709,1.0,0.0
119914,2,438.0,Residential,4380,1.0,0.0
120017,2,449.8,Residential,4498,1.0,0.0
120032,2,599.3000000000001,Residential,5993,1.0,0.0
120058,24,21391.300000000003,Residential,213913,22.0,20.0
120150,2,616.1,Residential,6161,1.0,0.0
120212,2,978.6,Residential,9786,1.0,0.0
120279,3,624.9000000000001,Residential,6249,1.0,0.0
120280,3,654.2,Residential,6542,1.0,0.0
120374,2,755.9000000000001,Residential,7559,1.0,0.0
120382,2,3343.7000000000003,Residential,33437,4.0,4.0
120405,3,418.20000000000005,Residential,4182,1.0,0.0
120430,2,382.1,Residential,3821,1.0,0.0
120477,2,301.0,Residential,3010,1.0,0.0
120569,2,3943.3,Residential,39433,4.0,2.0
121871,20,12766.0,Residential,127660,13.0,-21.0
121904,3,1754.0,Residential,17540,2.0,1.0
121941,3,920.9000000000001,Residential,9209,1.0,0.0
122202,20,3750.3,Residential,37503,4.0,3.0
122207,3,4684.900000000001,Residential,46849,5.0,4.0
122208,2,2742.9,Residential,27429,3.0,2.0
122232,2,1015.1,Residential,10151,2.0,2.0
122260,3,731.6,Residential,7316,1.0,0.0
122338,20,754.3000000000001,Residential,7543,1.0,0.0
122346,2,697.7,Residential,6977,1.0,0.0
122355,2,4495.2,Residential,44952,5.0,4.0
122489,20,751.4000000000001,Residential,7514,1.0,0.0
122732,24,835.4000000000001,Residential,8354,1.0,0.0
123323,2,2872.6000000000004,Residential,28726,3.0,-5.0
123394,2,673.7,Residential,6737,1.0,0.0
123405,2,1122.8,Residential,11228,2.0,1.0
123412,20,915.9000000000001,Residential,9159,1.0,0.0
123416,2,1522.7,Residential,15227,2.0,1.0
123417,2,1494.1000000000001,Residential,14941,2.0,1.0
123439,2,685.7,Residential,6857,1.0,0.0
123443,2,1098.7,Residential,10987,2.0,0.0
123456,2,2050.9,Residential,20509,3.0,2.0
123459,2,740.8000000000001,Residential,7408,1.0,0.0
123482,20,2740.4,Residential,27404,3.0,3.0
123483,2,5808.1,Residential,58081,6.0,6.0
123489,24,5674.8,Residential,56748,6.0,6.0
123493,3,2100.7000000000003,Residential,21007,3.0,-11.0
123499,2,1021.3000000000001,Residential,10213,2.0,1.0
123503,3,3468.0,Residential,34680,4.0,3.0
123504,3,2128.6,Residential,21286,3.0,1.0
123507,2,1694.3000000000002,Residential,16943,2.0,1.0
123512,2,1854.9,Residential,18549,2.0,1.0
123513,20,1776.3000000000002,Residential,17763,2.0,1.0
123514,2,1612.6000000000001,Residential,16126,2.0,1.0
123519,20,1518.6000000000001,Residential,15186,2.0,1.0
123737,20,658.1,Residential,6581,1.0,0.0
123746,20,814.9000000000001,Residential,8149,1.0,0.0
123749,2,712.9000000000001,Residential,7129,1.0,0.0
123760,3,640.9000000000001,Residential,6409,1.0,0.0
123777,20,625.7,Residential,6257,1.0,0.0
123789,20,759.7,Residential,7597,1.0,0.0
123795,3,605.0,Residential,6050,1.0,0.0
123803,2,679.5,Residential,6795,1.0,-3.0
123816,3,685.7,Residential,6857,1.0,0.0
123820,3,912.8000000000001,Residential,9128,1.0,-1.0
123864,24,4543.3,Residential,45433,5.0,5.0
123871,3,600.8000000000001,Residential,6008,1.0,0.0
123917,20,602.8000000000001,Residential,6028,1.0,0.0
123925,20,607.1,Residential,6071,1.0,0.0
123931,3,601.7,Residential,6017,1.0,0.0
123933,20,628.4000000000001,Residential,6284,1.0,0.0
123934,2,553.3000000000001,Residential,5533,1.0,0.0
123939,20,599.5,Residential,5995,1.0,0.0
123942,20,614.7,Residential,6147,1.0,0.0
123972,3,594.9,Residential,5949,1.0,0.0
123981,20,550.7,Residential,5507,1.0,0.0
124007,3,606.2,Residential,6062,1.0,0.0
124011,20,610.4,Residential,6104,1.0,0.0
124013,20,547.8000000000001,Residential,5478,1.0,0.0
124014,20,602.2,Residential,6022,1.0,0.0
124017,2,878.9000000000001,Residential,8789,1.0,0.0
124022,2,630.0,Residential,6300,1.0,0.0
124024,3,623.5,Residential,6235,1.0,0.0
124036,20,600.0,Residential,6000,1.0,0.0
124050,20,599.9,Residential,5999,1.0,0.0
124051,2,600.0,Residential,6000,1.0,0.0
124055,20,599.9,Residential,5999,1.0,0.0
124096,24,599.9,Residential,5999,1.0,0.0
124102,2,600.0,Residential,6000,1.0,0.0
124107,3,600.0,Residential,6000,1.0,0.0
124109,3,600.0,Residential,6000,1.0,0.0
124111,20,600.1,Residential,6001,1.0,0.0
124114,3,600.0,Residential,6000,1.0,0.0
124118,3,600.0,Residential,6000,1.0,0.0
124123,20,600.0,Residential,6000,1.0,0.0
124132,2,600.0,Residential,6000,1.0,0.0
124145,20,649.6,Residential,6496,1.0,0.0
124147,20,720.1,Residential,7201,1.0,0.0
124150,3,897.8000000000001,Residential,8978,1.0,0.0
124152,2,250.0,Residential,285,1.0,1.0
124160,20,902.7,Residential,9027,1.0,0.0
124181,3,22291.9,Residential,222919,23.0,-34.0
124769,2,673.2,Residential,6732,1.0,0.0
124829,2,1243.3000000000002,Residential,12433,2.0,1.0
125191,20,13189.6,Residential,131896,14.0,-100.0
125278,24,573.1,Residential,5731,1.0,0.0
125351,3,24376.7,Residential,243767,25.0,-95.0
125399,2,30700.7,Residential,307007,31.0,-69.0
125476,24,3744.6000000000004,Residential,37446,4.0,4.0
125569,3,597.9,Residential,5979,1.0,0.0
125631,2,659.2,Residential,6592,1.0,0.0
125778,24,1530.6000000000001,Residential,15306,2.0,1.0
125786,20,1313.8000000000002,Residential,13138,2.0,1.0
125799,24,1535.5,Residential,15355,2.0,1.0
125808,3,1350.4,Residential,13504,2.0,1.0
125834,20,1464.7,Residential,14647,2.0,1.0
125839,3,584.3000000000001,Residential,5843,1.0,0.0
125843,24,1443.7,Residential,14437,2.0,1.0
125847,3,810.3000000000001,Residential,8103,1.0,0.0
125900,24,778.8000000000001,Residential,7788,1.0,-1.0
125904,24,1434.6000000000001,Residential,14346,2.0,0.0
125909,24,1421.7,Residential,14217,2.0,-1.0
125921,24,1542.9,Residential,15429,2.0,0.0
125923,3,1336.2,Residential,13362,2.0,0.0
125927,3,767.7,Residential,7677,1.0,0.0
125952,3,1292.2,Residential,12922,2.0,1.0
125978,3,2106.1,Residential,21061,3.0,2.0
125987,2,11478.800000000001,Residential,114788,12.0,12.0
125997,24,1504.7,Residential,15047,2.0,1.0
126025,3,1226.9,Residential,12269,2.0,1.0
126088,24,1270.2,Residential,12702,2.0,-1.0
126098,20,2131.9,Residential,21319,3.0,2.0
126104,3,1016.8000000000001,Residential,10168,2.0,2.0
126105,24,902.8000000000001,Residential,9028,1.0,1.0
126106,20,1855.2,Residential,18552,2.0,1.0
126107,2,1695.7,Residential,16957,2.0,1.0
126116,3,1282.3000000000002,Residential,12823,2.0,1.0
126117,20,1238.0,Residential,12380,2.0,2.0
126118,20,1273.0,Residential,12730,2.0,1.0
126128,24,2046.9,Residential,20469,3.0,2.0
126129,3,1702.1000000000001,Residential,17021,2.0,1.0
126132,3,1065.4,Residential,10654,2.0,1.0
126135,3,1042.6000000000001,Residential,10426,2.0,1.0
126142,3,1064.2,Residential,10642,2.0,1.0
126145,3,1005.2,Residential,10052,2.0,1.0
126146,24,1235.0,Residential,12350,2.0,2.0
126148,20,1008.1,Residential,10081,2.0,0.0
126149,3,988.5,Residential,9885,1.0,0.0
126150,3,1026.3,Residential,10263,2.0,0.0
126155,2,1156.9,Residential,11569,2.0,1.0
126159,24,881.1,Residential,8811,1.0,0.0
126160,24,701.1,Residential,7011,1.0,0.0
126161,3,905.9000000000001,Residential,9059,1.0,0.0
126170,20,847.9000000000001,Residential,8479,1.0,0.0
126175,3,1813.8000000000002,Residential,18138,2.0,0.0
126176,24,1486.0,Residential,14860,2.0,1.0
126177,3,1067.9,Residential,10679,2.0,1.0
126178,20,993.0,Residential,9930,1.0,0.0
126179,20,2090.5,Residential,20905,3.0,2.0
126180,20,1054.8,Residential,10548,2.0,2.0
126191,24,985.5,Residential,9855,1.0,0.0
126229,20,2724.8,Residential,27248,3.0,1.0
126233,3,1823.2,Residential,18232,2.0,2.0
126278,3,642.4000000000001,Residential,6424,1.0,0.0
126281,3,1250.0,Residential,12500,2.0,1.0
126290,20,723.7,Residential,7237,1.0,0.0
126294,20,793.7,Residential,7937,1.0,0.0
126295,20,753.5,Residential,7535,1.0,0.0
126297,24,630.7,Residential,6307,1.0,0.0
126299,20,694.1,Residential,6941,1.0,-1.0
126301,20,663.6,Residential,6636,1.0,0.0
126313,20,801.1,Residential,8011,1.0,0.0
126317,20,667.5,Residential,6675,1.0,0.0
126320,2,1968.3000000000002,Residential,19683,2.0,2.0
126327,3,638.7,Residential,6387,1.0,0.0
126331,2,636.8000000000001,Residential,6368,1.0,0.0
126332,20,845.6,Residential,8456,1.0,0.0
126337,2,660.9000000000001,Residential,6609,1.0,0.0
126338,24,648.9000000000001,Residential,6489,1.0,0.0
126339,20,694.3000000000001,Residential,6943,1.0,0.0
126340,2,787.9000000000001,Residential,7879,1.0,0.0
126342,24,582.2,Residential,5822,1.0,0.0
126345,20,652.4000000000001,Residential,6524,1.0,0.0
126346,20,681.8000000000001,Residential,6818,1.0,0.0
126347,20,657.0,Residential,6570,1.0,0.0
126359,2,1144.1000000000001,Residential,11441,2.0,1.0
126360,20,1436.9,Residential,14369,2.0,2.0
126362,2,1383.1000000000001,Residential,13831,2.0,1.0
126363,3,1914.4,Residential,19144,2.0,1.0
126370,2,1291.3000000000002,Residential,12913,2.0,1.0
126371,2,1126.5,Residential,11265,2.0,1.0
126378,24,1575.4,Residential,15754,2.0,1.0
126380,2,713.6,Residential,7136,1.0,0.0
126384,20,681.0,Residential,6810,1.0,0.0
126386,20,654.2,Residential,6542,1.0,0.0
126391,20,742.3000000000001,Residential,7423,1.0,0.0
126392,2,628.0,Residential,6280,1.0,0.0
126399,24,1603.6000000000001,Residential,16036,2.0,1.0
126400,20,992.7,Residential,9927,1.0,0.0
126403,24,988.2,Residential,9882,1.0,0.0
126404,20,648.2,Residential,6482,1.0,0.0
126407,2,1006.6,Residential,10066,2.0,1.0
126413,2,676.7,Residential,6767,1.0,1.0
126416,20,664.3000000000001,Residential,6643,1.0,0.0
126427,20,817.2,Residential,8172,1.0,0.0
126429,3,653.5,Residential,6535,1.0,0.0
126446,24,1086.0,Residential,10860,2.0,1.0
126623,2,3764.3,Residential,37643,4.0,4.0
128583,20,952.5,Residential,9525,1.0,0.0
128608,20,635.0,Residential,6350,1.0,-2.0
128612,20,635.0,Residential,6350,1.0,-2.0
128614,2,476.20000000000005,Residential,4762,1.0,0.0
128625,20,635.0,Residential,6350,1.0,0.0
128627,2,635.0,Residential,6350,1.0,0.0
128628,2,952.5,Residential,9525,1.0,-11.0
128632,20,558.8000000000001,Residential,5588,1.0,0.0
128638,20,952.4000000000001,Residential,9524,1.0,0.0
128661,20,952.5,Residential,9525,1.0,-3.0
128662,20,635.0,Residential,6350,1.0,0.0
128664,20,635.0,Residential,6350,1.0,0.0
128666,2,635.0,Residential,6350,1.0,0.0
128681,2,764.5,Residential,7645,1.0,-2.0
128693,2,895.0,Residential,8950,1.0,-11.0
128695,20,1701.5,Residential,17015,2.0,-3.0
128705,2,608.3000000000001,Residential,6083,1.0,-3.0
128717,20,690.2,Residential,6902,1.0,0.0
128721,2,638.2,Residential,6382,1.0,0.0
128724,20,641.6,Residential,6416,1.0,0.0
128728,20,714.8000000000001,Residential,7148,1.0,0.0
128729,20,778.6,Residential,7786,1.0,0.0
128737,3,789.0,Residential,7890,1.0,0.0
128750,24,962.1,Residential,9621,1.0,-9.0
128751,20,1025.3,Residential,10253,2.0,-4.0
128769,24,2843.0,Residential,28430,3.0,-31.0
128779,20,660.4000000000001,Residential,6604,1.0,-1.0
128808,20,635.0,Residential,6350,1.0,0.0
128820,20,635.0,Residential,6350,1.0,0.0
128831,2,635.0,Residential,6350,1.0,0.0
129197,3,717.0,Residential,7170,1.0,0.0
129235,3,3147.3,Residential,31473,4.0,-19.0
129245,3,1428.2,Residential,14282,2.0,-15.0
129246,3,1116.1000000000001,Residential,11161,2.0,1.0
129249,3,663.5,Residential,6635,1.0,0.0
129261,2,660.0,Residential,6600,1.0,-1.0
129264,20,1265.2,Residential,12652,2.0,-15.0
129267,2,777.4000000000001,Residential,7774,1.0,0.0
129273,20,1089.4,Residential,10894,2.0,-10.0
129279,3,1239.0,Residential,12390,2.0,1.0
129317,2,7526.1,Residential,75261,8.0,-63.0
129321,3,14341.7,Residential,143417,15.0,-104.0
129373,3,359.70000000000005,Residential,3597,1.0,0.0
129374,3,1153.2,Residential,11532,2.0,0.0
129376,2,1010.4000000000001,Residential,10104,2.0,1.0
129378,2,623.5,Residential,6235,1.0,-2.0
129386,2,684.0,Residential,6840,1.0,0.0
129388,20,1071.5,Residential,10715,2.0,0.0
129403,20,615.9000000000001,Residential,6159,1.0,0.0
131599,3,826.6,Residential,8266,1.0,1.0
131600,3,1391.2,Residential,13912,2.0,1.0
131601,3,595.3000000000001,Residential,5953,1.0,1.0
131602,2,952.9000000000001,Residential,9529,1.0,0.0
131610,2,1588.7,Residential,15887,2.0,1.0
133391,3,28644.4,Residential,286444,29.0,29.0
133411,3,1467.54,Residential,8153,2.0,1.0
133419,20,1285.2,Residential,7140,2.0,1.0
133425,24,1602.1799999999998,Residential,8901,2.0,1.0
133426,3,1517.58,Residential,8431,2.0,1.0
133433,3,1288.08,Residential,7156,2.0,1.0
133437,2,1218.96,Residential,6772,2.0,1.0
133442,2,1238.04,Residential,6878,2.0,1.0
133453,2,1320.3,Residential,7335,2.0,1.0
133456,2,1877.04,Residential,10428,2.0,1.0
133466,3,1894.6799999999998,Residential,10526,2.0,1.0
133477,24,1337.76,Residential,7432,2.0,1.0
133483,2,1065.42,Residential,5919,2.0,1.0
133485,24,1325.7,Residential,7365,2.0,1.0
133486,20,1403.82,Residential,7799,2.0,1.0
133490,2,1459.08,Residential,8106,2.0,1.0
133493,2,1339.74,Residential,7443,2.0,1.0
133504,20,1210.32,Residential,6724,2.0,1.0
133507,2,1321.2,Residential,7340,2.0,1.0
133512,2,1273.68,Residential,7076,2.0,1.0
133535,2,1298.8799999999999,Residential,7216,2.0,1.0
133547,24,1159.02,Residential,6439,2.0,1.0
133558,24,1391.76,Residential,7732,2.0,1.0
133581,2,1427.3999999999999,Residential,7930,2.0,1.0
133594,24,1222.9199999999998,Residential,6794,2.0,1.0
133603,2,1443.24,Residential,8018,2.0,1.0
133622,3,1343.7,Residential,7465,2.0,1.0
133624,20,1374.84,Residential,7638,2.0,1.0
133629,2,1628.46,Residential,9047,2.0,1.0
133632,24,1365.3,Residential,7585,2.0,1.0
133638,3,1972.98,Residential,10961,2.0,1.0
133647,24,1425.06,Residential,7917,2.0,1.0
133661,2,1810.4399999999998,Residential,10058,2.0,1.0
133687,24,3889.2000000000003,Residential,38892,4.0,3.0
133707,24,2086.2000000000003,Residential,20862,3.0,-13.0
133708,20,1863.7,Residential,18637,2.0,-14.0
133709,20,1017.4000000000001,Residential,10174,2.0,1.0
133710,24,1424.8000000000002,Residential,14248,2.0,1.0
133711,24,1042.2,Residential,10422,2.0,2.0
133712,24,1133.8,Residential,11338,2.0,1.0
133713,20,1140.8,Residential,11408,2.0,2.0
133714,3,1113.3,Residential,11133,2.0,2.0
133717,20,1197.5,Residential,11975,2.0,1.0
133731,2,11700.5,Residential,117005,12.0,-102.0
133734,20,1196.5,Residential,11965,2.0,-10.0
133735,24,5316.3,Residential,53163,6.0,-38.0
133736,20,907.3000000000001,Residential,9073,1.0,-5.0
133737,24,757.3000000000001,Residential,7573,1.0,-5.0
133749,3,19750.7,Residential,197507,20.0,20.0
133824,20,1111.9,Residential,11119,2.0,-2.0
133837,20,1567.2,Residential,15672,2.0,-8.0
133849,24,2786.6000000000004,Residential,27866,3.0,-19.0
133850,20,1025.6000000000001,Residential,10256,2.0,1.0
133851,20,909.3000000000001,Residential,9093,1.0,0.0
133854,20,2880.8,Residential,28808,3.0,3.0
134588,3,2882.2000000000003,Residential,28822,3.0,3.0
134591,24,5689.1,Residential,56891,6.0,-46.0
134882,3,703.8000000000001,Residential,7038,1.0,0.0
135036,24,979.1,Residential,9791,1.0,0.0
135040,3,1515.9,Residential,15159,2.0,1.0
135114,20,9662.800000000001,Residential,69020,10.0,9.0
135158,20,1576.68,Residential,11262,2.0,1.0
135331,24,1162.0,Residential,8300,2.0,1.0
135956,24,6034.9800000000005,Residential,43107,7.0,6.0
136075,2,1645.5600000000002,Residential,11754,2.0,1.0
136089,3,1266.72,Residential,9048,2.0,1.0
136091,24,1140.44,Residential,8146,2.0,1.0
136107,20,1354.22,Residential,9673,2.0,1.0
136164,20,1183.2800000000002,Residential,8452,2.0,1.0
136195,3,934.3600000000001,Residential,6674,1.0,0.0
136269,24,8623.949999999999,Residential,57493,9.0,-7.0
136271,3,1974.8400000000001,Residential,14106,2.0,1.0
136365,24,1397.3400000000001,Residential,9981,2.0,1.0
136444,24,1102.3600000000001,Residential,7874,2.0,1.0
136475,3,571.9000000000001,Residential,4085,1.0,0.0
136502,20,250.0,Residential,349,1.0,1.0
139243,3,8201.4,Residential,82014,9.0,-14.0
139259,3,91512.47,Residential,247331,92.0,-4.0
161504,2,1554.5,Residential,6218,2.0,1.0
161572,2,1593.75,Residential,6375,2.0,1.0
161582,2,1543.5,Residential,6174,2.0,1.0
161594,3,3174.75,Residential,12699,4.0,3.0
161659,2,1172.5,Residential,4690,2.0,1.0
161687,24,5485.5,Residential,21942,6.0,6.0
161730,2,1918.25,Residential,7673,2.0,1.0
161737,24,1254.75,Residential,5019,2.0,0.0
161764,2,250.0,Residential,8375,1.0,0.0
161773,24,1585.5,Residential,6342,2.0,1.0
161848,2,1553.0,Residential,6212,2.0,1.0
161923,2,1473.75,Residential,5895,2.0,1.0
161925,2,1533.0,Residential,6132,2.0,1.0
161988,2,3121.5,Residential,12486,4.0,3.0
162012,2,1534.5,Residential,6138,2.0,1.0
162056,3,1535.25,Residential,6141,2.0,1.0
162062,24,1460.0,Residential,5840,2.0,1.0
162073,3,250.0,Residential,7884,1.0,0.0
162086,24,2249.17,Residential,9779,3.0,2.0
162103,3,1681.5,Residential,6726,2.0,1.0
162256,24,732.0,Residential,2928,1.0,1.0
162331,20,1120.0,Residential,4480,2.0,1.0
162482,3,33194.5,Residential,132778,34.0,34.0
162488,24,1255.25,Residential,5021,2.0,2.0
162489,24,1114.25,Residential,4457,2.0,2.0
